experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-streamcluster-simsmall-3",80,79.66,75.42,"1500;1000;2500;1000","1500;2000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","62.93;58.48;79.66;47.64","61.48;70.84;75.42;48.76","1.257723432;0.7006708197;3.452021794;0.4027583553","1.495103881;2.576436742;2.563822242;0.6399895837","0.3912363067;0.4310344828;0.3521126761;0","0.4051863857;0.3736920777;0.3714710253;0","0.639;0.58;0.71;1000000.794","0.617;0.669;0.673;2000000.456","0;0;0;0","0;0;0;0","2347417840;1724137931;3521126761;999.999206","2431118314;2989536622;2971768202;999.999772","0;0;0;0","0;0;0;0","15;14;13;0","15;14;13;0"
"parsec-streamcluster-simsmall-3",81,75.42,84.2,"1500;2000;2000;2000","1000;2500;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","61.48;70.84;75.42;48.76","53.72;52.94;84.2;61.98","1.495103881;2.576436742;2.563822242;0.6399895837","0.7056016687;0.7811186458;3.519863634;2.168691582","0.4051863857;0.3736920777;0.3714710253;0","0.4378283713;0;0.3602305476;0.3736920777","0.617;0.669;0.673;2000000.456","0.571;2500123.771;0.694;0.669","0;0;0;0","0;0;0;0","2431118314;2989536622;2971768202;999.999772","1751313485;999.9504941;3602305476;2989536622","0;0;0;0","0;0;0;0","15;14;13;0","14;0;13;15"
"parsec-streamcluster-simsmall-3",82,84.2,69.87,"1000;2500;2500;2000","1500;1500;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","53.72;52.94;84.2;61.98","58.68;58.75;56.55;69.87","0.7056016687;0.7811186458;3.519863634;2.168691582","1.481742741;1.488642902;0.5139870221;2.548151522","0.4378283713;0;0.3602305476;0.3736920777","0.4006410256;0.4032258065;0;0.3681885125","0.571;2500123.771;0.694;0.669","0.624;0.62;1500067.515;0.679","0;0;0;0","0;0;0;0","1751313485;999.9504941;3602305476;2989536622","2403846154;2419354839;999.954992;2945508100","0;0;0;0","0;0;0;0","14;0;13;15","13;14;0;15"
"parsec-streamcluster-simsmall-3",83,69.87,79.72,"1500;1500;1500;2000","1000;2500;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","58.68;58.75;56.55;69.87","49.44;79.72;58.42;68.83","1.481742741;1.488642902;0.5139870221;2.548151522","0.4027583553;3.581128534;1.321903422;2.227282662","0.4006410256;0.4032258065;0;0.3681885125","0;0.363372093;0.4166666667;0.3822629969","0.624;0.62;1500067.515;0.679","1000000.439;0.688;0.6;0.654","0;0;0;0","0;0;0;0","2403846154;2419354839;999.954992;2945508100","999.999561;3633720930;2500000000;3058103976","0;0;0;0","0;0;0;0","13;14;0;15","0;13;14;15"
"parsec-streamcluster-simsmall-3",84,79.72,67.38,"1000;2500;1500;2000","1000;1500;1500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","49.44;79.72;58.42;68.83","52.25;67.38;62.51;52.03","0.4027583553;3.581128534;1.321903422;2.227282662","0.8906143637;1.702202461;1.705183912;0.4027583471","0;0.363372093;0.4166666667;0.3822629969","0.4244482173;0.3753753754;0.3753753754;0","1000000.439;0.688;0.6;0.654","0.589;0.666;0.666;1000000.342","0;0;0;0","0;0;0;0","999.999561;3633720930;2500000000;3058103976","1697792869;2252252252;2252252252;999.999658","0;0;0;0","0;0;0;0","0;13;14;15","14;13;15;0"
"parsec-streamcluster-simsmall-3",85,67.38,75.65,"1000;1500;1500;1000","2500;1500;2000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","52.25;67.38;62.51;52.03","75.65;59.52;65.56;52.78","0.8906143637;1.702202461;1.705183912;0.4027583471","3.385243514;1.217994321;2.047610012;1.206481256","0.4244482173;0.3753753754;0.3753753754;0","0.3369272237;0.3612716763;0.3378378378;0.05518617021","0.589;0.666;0.666;1000000.342","0.742;0.692;0.74;4.512","0;0;0;0","0;0;0;0","1697792869;2252252252;2252252252;999.999658","3369272237;2167630058;2702702703;554078014.2","0;0;0;0","0;0;0;0","14;13;15;0","16;17;18;0"
"parsec-streamcluster-simsmall-3",86,75.65,73.26,"2500;1500;2000;2500","2000;2000;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","75.65;59.52;65.56;52.78","73.26;68.67;51.37;66.5","3.385243514;1.217994321;2.047610012;1.206481256","2.514945202;2.396818702;0.5139870221;2.405789782","0.3369272237;0.3612716763;0.3378378378;0.05518617021","0.3591954023;0.3351206434;0;0.336473755","0.742;0.692;0.74;4.512","0.696;0.746;1500063.799;0.743","0;0;0;0","0;0;0;0","3369272237;2167630058;2702702703;554078014.2","2873563218;2680965147;999.9574691;2691790040","0;0;0;0","0;0;0;0","16;17;18;0","18;16;0;17"
"parsec-streamcluster-simsmall-3",87,73.26,74.73,"2000;2000;1500;2000","1500;1000;2500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","73.26;68.67;51.37;66.5","60.69;55;74.73;51.1","2.514945202;2.396818702;0.5139870221;2.405789782","1.194833662;0.6772342217;3.229124534;0.4027583553","0.3591954023;0.3351206434;0;0.336473755","0.3581661891;0.3974562798;0.3221649485;0","0.696;0.746;1500063.799;0.743","0.698;0.629;0.776;1000000.985","0;0;0;0","0;0;0;0","2873563218;2680965147;999.9574691;2691790040","2148997135;1589825119;3221649485;999.999015","0;0;0;0","0;0;0;0","18;16;0;17","17;18;16;0"
"parsec-streamcluster-simsmall-3",88,74.73,59.98,"1500;1000;2500;1000","1000;1000;1500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","60.69;55;74.73;51.1","53.08;51.6;59.98;49.63","1.194833662;0.6772342217;3.229124534;0.4027583553","0.6511134117;0.6620738397;1.131312331;0.7811186458","0.3581661891;0.3974562798;0.3221649485;0","0.3607503608;0.3787878788;0.3255208333;0","0.698;0.629;0.776;1000000.985","0.693;0.66;0.768;2500048.898","0;0;0;0","0;0;0;0","2148997135;1589825119;3221649485;999.999015","1443001443;1515151515;1953125000;999.9804412","0;0;0;0","0;0;0;0","17;18;16;0","17;18;16;0"
"parsec-streamcluster-simsmall-3",89,59.98,66.25,"1000;1000;1500;2500","2000;2500;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","53.08;51.6;59.98;49.63","63.02;49.47;66.25;61.51","0.6511134117;0.6620738397;1.131312331;0.7811186458","2.025863142;0.7811186458;2.151191712;2.057817272","0.3607503608;0.3787878788;0.3255208333;0","0.3293650794;0;0.3628447025;0.3387533875","0.693;0.66;0.768;2500048.898","0.756;2500000.856;0.689;0.738","0;0;0;0","0;0;0;0","1443001443;1515151515;1953125000;999.9804412","2645502646;999.9996576;2902757620;2710027100","0;0;0;0","0;0;0;0","17;18;16;0","17;0;18;16"
