experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-blackscholes-simsmall-3",38,69.42,68.77,"1500;1500;1000;1000","2000;1000;2000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.83;69.42;51.95;51.06","48.84;56.42;68.77;56.75","0.5139870123;1.629503931;0.8033416917;0.8106379237","0.6399895837;0.7034881937;2.501204972;1.362344261","0;0.3759398496;0.3799392097;0.386996904","0;0.3805175038;0.3846153846;0.381097561","1500000.5;0.665;0.658;0.646","2000002.004;0.657;0.65;0.656","0;0;0;0","0;0;0;0","999.9996667;2255639098;1519756839;1547987616","999.998998;1522070015;3076923077;2286585366","0;0;0;0","0;0;0;0","0;1;3;2","0;1;3;2"
"parsec-blackscholes-simsmall-3",39,68.77,72.8,"2000;1000;2000;1500","2000;1000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.84;56.42;68.77;56.75","48.91;52.94;72.8;69.81","0.6399895837;0.7034881937;2.501204972;1.362344261","0.6399895837;0.6998706997;2.493957312;2.507004202","0;0.3805175038;0.3846153846;0.381097561","0;0.3759398496;0.3834355828;0.3858024691","2000002.004;0.657;0.65;0.656","2000000.667;0.665;0.652;0.648","0;0;0;0","0;0;0;0","999.998998;1522070015;3076923077;2286585366","999.9996665;1503759398;3067484663;3086419753","0;0;0;0","0;0;0;0","0;1;3;2","0;1;3;2"
"parsec-blackscholes-simsmall-3",40,72.8,73.13,"2000;1000;2000;2000","1500;1000;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.91;52.94;72.8;69.81","55.49;51.71;53.01;73.13","0.6399895837;0.6998706997;2.493957312;2.507004202","1.357843521;0.7078679767;0.4027583522;2.500835942","0;0.3759398496;0.3834355828;0.3858024691","0.3793626707;0.3863987635;0;0.3846153846","2000000.667;0.665;0.652;0.648","0.659;0.647;1000005;0.65","0;0;0;0","0;0;0;0","999.9996665;1503759398;3067484663;3086419753","2276176024;1545595054;999.995;3076923077","0;0;0;0","0;0;0;0","0;1;3;2","1;3;0;2"
"parsec-blackscholes-simsmall-3",41,73.13,84.98,"1500;1000;1000;2000","2000;1500;2000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","55.49;51.71;53.01;73.13","64.79;55.42;48.98;84.98","1.357843521;0.7078679767;0.4027583522;2.500835942","2.102811502;1.194524468;0.6399895934;3.568011654","0.3793626707;0.3863987635;0;0.3846153846","0.378214826;0.3822629969;0;0.3834355828","0.659;0.647;1000005;0.65","0.661;0.654;2000000.004;0.652","0;0;0;0","0;0;0;0","2276176024;1545595054;999.995;3076923077","3025718608;2293577982;999.999998;3834355828","0;0;0;0","0;0;0;0","1;3;0;2","1;3;0;2"
"parsec-blackscholes-simsmall-3",42,84.98,82.03,"2000;1500;2000;2500","2500;1000;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","64.79;55.42;48.98;84.98","82.03;50.68;48.47;73.38","2.102811502;1.194524468;0.6399895934;3.568011654","3.531257434;0.6053290167;0.513987028;2.130515902","0.378214826;0.3822629969;0;0.3834355828","0.3787878788;0.3205128205;0;0.3852080123","0.661;0.654;2000000.004;0.652","0.66;0.78;1500000.003;0.649","0;0;0;0","0;0;0;0","3025718608;2293577982;999.999998;3834355828","3787878788;1282051282;999.999998;3081664099","0;0;0;0","0;0;0;0","1;3;0;2","1;-1;0;2"
"parsec-blackscholes-simsmall-3",43,82.03,78.61,"2500;1000;1500;2000","1000;2500;2000;1500","1;0;1;1","nan;nan;nan;nan","nan;nan;nan;nan","82.03;50.68;48.47;73.38","55.15;78.61;63.23;53.93","3.531257434;0.6053290167;0.513987028;2.130515902","0.4027583553;3.522665084;2.124418752;0.513987028","0.3787878788;0.3205128205;0;0.3852080123","0;0.3776435045;0.3834355828;0","0.66;0.78;1500000.003;0.649","1000024;0.662;0.652;1500036","0;0;0;0","0;0;0;0","3787878788;1282051282;999.999998;3081664099","999.9760006;3776435045;3067484663;999.9760006","0;0;0;0","0;0;0;0","1;-1;0;2","-1;1;2;0"
"parsec-blackscholes-simsmall-3",44,78.61,65.83,"1000;2500;2000;1500","2500;1000;1500;2000","0;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","55.15;78.61;63.23;53.93","49.57;54.01;57.89;65.83","0.4027583553;3.522665084;2.124418752;0.513987028","0.7811186458;0.4027583553;1.196623077;2.111529482","0;0.3776435045;0.3834355828;0","0;0;0.3834355828;0.3805175038","1000024;0.662;0.652;1500036","2500000.838;1000000.335;0.652;0.657","0;0;0;0","0;0;0;0","999.9760006;3776435045;3067484663;999.9760006","999.9996648;999.999665;2300613497;3044140030","0;0;0;0","0;0;0;0","-1;1;2;0","-1;0;2;1"
"parsec-blackscholes-simsmall-3",45,65.83,76.13,"2500;1000;1500;2000","1500;2000;2500;2500","0;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","49.57;54.01;57.89;65.83","48.48;52.98;62.76;76.13","0.7811186458;0.4027583553;1.196623077;2.111529482","0.513987028;0.9922672251;1.965338944;2.941724654","0;0;0.3834355828;0.3805175038","0;0.09628770302;0.1629726206;0.2976190476","2500000.838;1000000.335;0.652;0.657","1500000.45;2.586;1.534;0.84","0;0;0;0","0;0;0;0","999.9996648;999.999665;2300613497;3044140030","999.9997;773395204.9;1629726206;2976190476","0;0;0;0","0;0;0;0","-1;0;2;1","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",46,76.13,74.79,"1500;2000;2500;2500","1500;2000;1000;1000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","48.48;52.98;62.76;76.13","48.28;74.79;50.33;53.97","0.513987028;0.9922672251;1.965338944;2.941724654","0.5139870221;2.843098102;0.4027583522;0.4027583522","0;0.09628770302;0.1629726206;0.2976190476","0;0.4816247582;0;0","1500000.45;2.586;1.534;0.84","1500000.45;0.517;1000000.3;1000000.3","0;0;0;0","0;0;0;0","999.9997;773395204.9;1629726206;2976190476","999.9997;3868471954;999.9997;999.9997","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;0;-1;-1"
"parsec-blackscholes-simsmall-3",47,74.79,74.94,"1500;2000;1000;1000","2500;2000;1500;1000","0;1;0;0","nan;nan;nan;nan","nan;nan;nan;nan","48.28;74.79;50.33;53.97","49.48;74.94;48.36;48.78","0.5139870221;2.843098102;0.4027583522;0.4027583522","0.7811186458;2.423852002;0.513987028;0.4027583553","0;0.4816247582;0;0","0;0.4882352941;0;0","1500000.45;0.517;1000000.3;1000000.3","2500000.75;0.51;1500000.45;1000000.3","0;0;0;0","0;0;0;0","999.9997;3868471954;999.9997;999.9997","999.9997;3921568627;999.9997;999.9997","0;0;0;0","0;0;0;0","-1;0;-1;-1","-1;0;-1;-1"
