experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-blackscholes-simsmall-3",410,73.01,75.1,"2500;1000;1000;2500","1500;2500;2500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","60.94;55.11;64.24;73.01","58.94;60.11;68.04;75.1","0.7811221194;0.6627233487;0.6427814937;3.474950394","0.5139878165;3.600555924;3.643376604;3.578498614","0;0.4111842105;0.3799392097;0.3709198813","0;0.3881987578;0.3937007874;0.3852080123","250001.515;0.608;0.658;0.674","150000.309;0.644;0.635;0.649","0;0;0;0","0;0;0;0","9999.9394;1644736842;1519756839;3709198813","9999.9794;3881987578;3937007874;3852080123","0;0;0;0","0;0;0;0","0;3;2;1","0;3;2;1"
"parsec-blackscholes-simsmall-3",411,75.1,76.64,"1500;2500;2500;2500","1000;1500;1000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","58.94;60.11;68.04;75.1","57.75;59.44;64.77;76.64","0.5139878165;3.600555924;3.643376604;3.578498614","0.6409683867;1.197911497;0.4027592439;3.467427044","0;0.3881987578;0.3937007874;0.3852080123","0.3765060241;0.3840245776;0;0.3692762186","150000.309;0.644;0.635;0.649","0.664;0.651;100045;0.677","0;0;0;0","0;0;0;0","9999.9794;3881987578;3937007874;3852080123","1506024096;2304147465;9995.502024;3692762186","0;0;0;0","0;0;0;0","0;3;2;1","3;1;0;2"
"parsec-blackscholes-simsmall-3",412,76.64,73.52,"1000;1500;1000;2500","2000;2000;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","57.75;59.44;64.77;76.64","56.21;60.84;68.43;73.52","0.6409683867;1.197911497;0.4027592439;3.467427044","0.6399902453;2.134442102;3.601004704;1.160975416","0.3765060241;0.3840245776;0;0.3692762186","0;0.3858024691;0.3881987578;0.3639010189","0.664;0.651;100045;0.677","200019.138;0.648;0.644;0.687","0;0;0;0","0;0;0;0","1506024096;2304147465;9995.502024;3692762186","9999.043192;3086419753;3881987578;2183406114","0;0;0;0","0;0;0;0","3;1;0;2","0;2;3;1"
"parsec-blackscholes-simsmall-3",413,73.52,69.68,"2000;2000;2500;1500","1500;1500;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","56.21;60.84;68.43;73.52","56.81;60.49;69.36;69.68","0.6399902453;2.134442102;3.601004704;1.160975416","1.388662812;1.339543711;2.583458162;0.6399911486","0;0.3858024691;0.3881987578;0.3639010189","0.393081761;0.3709198813;0.4019292605;0","200019.138;0.648;0.644;0.687","0.636;0.674;0.622;200001.134","0;0;0;0","0;0;0;0","9999.043192;3086419753;3881987578;2183406114","2358490566;2225519288;3215434084;9999.9433","0;0;0;0","0;0;0;0","0;2;3;1","3;1;2;0"
"parsec-blackscholes-simsmall-3",414,69.68,67.44,"1500;1500;2000;2000","1500;1500;1500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","56.81;60.49;69.36;69.68","56.81;60.02;67.44;66.5","1.388662812;1.339543711;2.583458162;0.6399911486","1.196673113;1.231162261;1.177322627;0.7811221194","0.393081761;0.3709198813;0.4019292605;0","0.3834355828;0.4025764895;0.3725782414;0","0.636;0.674;0.622;200001.134","0.652;0.621;0.671;250001.594","0;0;0;0","0;0;0;0","2358490566;2225519288;3215434084;9999.9433","2300613497;2415458937;2235469449;9999.93624","0;0;0;0","0;0;0;0","3;1;2;0","3;1;2;0"
"parsec-blackscholes-simsmall-3",415,67.44,65.1,"1500;1500;1500;2500","1000;2000;1000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","56.81;60.02;67.44;66.5","55.96;62.14;65.1;63.78","1.196673113;1.231162261;1.177322627;0.7811221194","0.6906409957;2.507288782;0.6872444637;0.5139887578","0.3834355828;0.4025764895;0.3725782414;0","0.3639010189;0.3858024691;0.3597122302;0","0.652;0.621;0.671;250001.594","0.687;0.648;0.695;150063.956","0;0;0;0","0;0;0;0","2300613497;2415458937;2235469449;9999.93624","1455604076;3086419753;1438848921;9995.738084","0;0;0;0","0;0;0;0","3;1;2;0","3;1;2;0"
"parsec-blackscholes-simsmall-3",416,65.1,64.04,"1000;2000;1000;1500","2500;1000;1500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","55.96;62.14;65.1;63.78","54.67;60.26;64.04;62","0.6906409957;2.507288782;0.6872444637;0.5139887578","0.7811221194;0.6351582877;1.201623309;0.6503480797","0.3639010189;0.3858024691;0.3597122302;0","0;0.3681885125;0.3863987635;0.3912363067","0.687;0.648;0.695;150063.956","250104.094;0.679;0.647;0.639","0;0;0;0","0;0;0;0","1455604076;3086419753;1438848921;9995.738084","9995.837973;1472754050;2318392581;1564945227","0;0;0;0","0;0;0;0","3;1;2;0","0;1;3;2"
"parsec-blackscholes-simsmall-3",417,64.04,67.42,"2500;1000;1500;1000","2500;2500;2500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","54.67;60.26;64.04;62","53.59;64.47;67.42;66.15","0.7811221194;0.6351582877;1.201623309;0.6503480797","0.7811221194;3.595861744;3.441792254;3.629971874","0;0.3681885125;0.3863987635;0.3912363067","0;0.3875968992;0.3660322108;0.3918495298","250104.094;0.679;0.647;0.639","250000.349;0.645;0.683;0.638","0;0;0;0","0;0;0;0","9995.837973;1472754050;2318392581;1564945227","9999.98604;3875968992;3660322108;3918495298","0;0;0;0","0;0;0;0","0;1;3;2","0;3;1;2"
"parsec-blackscholes-simsmall-3",418,67.42,70.6,"2500;2500;2500;2500","2500;2500;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","53.59;64.47;67.42;66.15","52.67;67.74;70.6;66.27","0.7811221194;3.595861744;3.441792254;3.629971874","0.7811221194;3.564202024;3.670750294;2.042220492","0;0.3875968992;0.3660322108;0.3918495298","0;0.382848392;0.3974562798;0.3623188406","250000.349;0.645;0.683;0.638","250045.094;0.653;0.629;0.69","0;0;0;0","0;0;0;0","9999.98604;3875968992;3660322108;3918495298","9998.196565;3828483920;3974562798;2898550725","0;0;0;0","0;0;0;0","0;3;1;2","0;3;1;2"
"parsec-blackscholes-simsmall-3",419,70.6,70.43,"2500;2500;2500;2000","2000;2500;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","52.67;67.74;70.6;66.27","55.27;70.43;66.96;66.68","0.7811221194;3.564202024;3.670750294;2.042220492","2.203870052;3.517264634;0.4027592439;2.124475382","0;0.382848392;0.3974562798;0.3623188406","0.4038772213;0.3770739065;0;0.3834355828","250045.094;0.653;0.629;0.69","0.619;0.663;100000.037;0.652","0;0;0;0","0;0;0;0","9998.196565;3828483920;3974562798;2898550725","3231017771;3770739065;9999.9963;3067484663","0;0;0;0","0;0;0;0","0;3;1;2","3;1;0;2"
"parsec-blackscholes-simsmall-3",420,70.43,70.1,"2000;2500;1000;2000","2500;2000;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","55.27;70.43;66.96;66.68","59.98;70.1;64.15;67.21","2.203870052;3.517264634;0.4027592439;2.124475382","3.558775154;2.174188542;0.4027592439;2.210960382","0.4038772213;0.3770739065;0;0.3834355828","0.3822629969;0.3961965135;0;0.4058441558","0.619;0.663;100000.037;0.652","0.654;0.631;100000.037;0.616","0;0;0;0","0;0;0;0","3231017771;3770739065;9999.9963;3067484663","3822629969;3169572108;9999.9963;3246753247","0;0;0;0","0;0;0;0","3;1;0;2","3;1;0;2"
"parsec-blackscholes-simsmall-3",421,70.1,67.86,"2500;2000;1000;2000","1000;1000;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","59.98;70.1;64.15;67.21","57.79;67.86;63.06;65.48","3.558775154;2.174188542;0.4027592439;2.210960382","0.4027600583;0.9879271247;0.9966025937;0.9821697207","0.3822629969;0.3961965135;0;0.4058441558","0;0.3703703704;0.3759398496;0.366568915","0.654;0.631;100000.037;0.616","100000.037;0.675;0.665;0.682","0;0;0;0","0;0;0;0","3822629969;3169572108;9999.9963;3246753247","9999.9963;1481481481;1503759398;1466275660","0;0;0;0","0;0;0;0","3;1;0;2","0;3;1;2"
